dis_along_flowline,widths_m,area_m2,consensus_ice_thickness,millan_ice_thickness,millan_v,hugonnet_dhdt
100.0,872.3834819718808,174476.69639437617,44.04045779136067,25.03044650775487,2.6023060985675124,-0.4310322409134728
300.0,1479.1303014191321,295826.06028382643,53.63472690003453,33.650567944124745,6.652950170311378,-0.40467682946049194
500.0,5729.02556441203,1145805.112882406,48.24611110364184,32.41229353481098,6.620375186565085,-0.3328389332782437
700.0,10968.910592064462,2193782.1184128923,54.6834983718761,34.701472992168,7.764096319996476,-0.2324645763280984
900.0,14642.490016653866,2928498.003330773,83.70047475162625,64.60985208525034,14.197100631571919,-0.27704791259847283
1100.0,17294.618218111173,3458923.6436222345,84.79621548325824,81.23810022618699,19.44477231955626,-0.2515266277132316
1300.0,25256.873423499237,5051374.684699847,84.53531223172143,96.88142082694134,26.396235103196133,-0.3536693838173423
1500.0,23332.659117439147,4666531.823487829,92.17039888182296,101.4572744309002,31.248284111268433,-0.3179568046170313
1700.0,22140.18179661732,4428036.359323463,103.36771572540674,133.75314819804387,43.28041230818102,-0.10930350726786578
1900.0,21019.374958152497,4203874.991630499,112.09181381671893,156.2400537431217,52.122587378265614,-0.19702789902400153
2100.0,23027.37586055742,4605475.172111483,113.58871711036372,161.19912598814278,55.80609720233675,-0.23291284242685256
2300.0,12492.914553789626,2498582.9107579254,152.11070905873643,216.7487427350092,61.86543203114427,-0.26565325259615313
2500.0,12084.165648634218,2416833.1297268434,148.58233427432816,208.64544110547277,59.36571051355393,-0.7122035142815261
2700.0,11131.275449148583,2226255.089829717,144.6978816956331,220.51688019620775,68.18038160468383,-0.7504515375313907
2900.0,12874.446294822295,2574889.258964459,124.8132194537272,193.93580129464394,69.95290900310759,-0.7994616469997956
3100.0,14813.881323314743,2962776.2646629484,113.01520613127383,176.77998011450063,72.00978363788292,-0.9281703929467041
3300.0,13435.833132967726,2687166.626593545,115.52188136873266,181.02888605284735,75.54076191707888,-1.1661284104149514
3500.0,10912.332928508597,2182466.5857017194,129.32030006667938,213.5372762854052,81.0070004334228,-1.3196820401490548
3700.0,6998.237048762096,1399647.4097524192,155.20959066615015,260.4301408166902,84.2954917205575,-1.5106714226526317
3900.0,5343.146365289861,1068629.2730579723,174.4888373378645,280.3236017247373,82.56148144072928,-1.5867987890124904
4100.0,4851.287677195186,970257.5354390373,183.9140825838272,295.92787870538956,84.30152703449376,-1.688919341250726
4300.0,4250.236188485152,850047.2376970303,201.96797547971235,325.60545364165836,83.393835790002,-1.7687844626618314
4500.0,3593.7210652788203,718744.2130557641,224.4047228930711,362.4314509058548,81.14124719502713,-1.8373451109392023
4700.0,3538.8023793936886,707760.4758787378,218.58927659880342,360.8757172716757,90.16955773391125,-1.8441401531109851
4900.0,3572.8284837766582,714565.6967553316,208.59680183819705,353.64532402667174,100.86572590168115,-1.8418032780372036
5100.0,3864.915637576873,772983.1275153746,203.26131904851715,349.19847989625265,101.82429537972789,-1.9231062776773367
5300.0,3887.2478713701175,777449.5742740235,208.93950114354325,364.9853706464618,99.08058724087637,-2.004458245431221
5500.0,3541.5295627659334,708305.9125531866,228.3693948339215,406.5206563997325,92.40010799732134,-2.0788529730125442
5700.0,3479.0280707152156,695805.614143043,245.12881911846725,456.85241871886166,91.48370027616673,-2.1292338628054783
5900.0,3448.1725406258356,689634.5081251671,261.58985161164867,508.16707805019706,91.21135596325215,-2.176931504455011
6100.0,3476.2314590713563,695246.2918142712,279.71365664010204,527.7898491080783,87.57086864974416,-2.195217944762223
6300.0,3518.340074733881,703668.0149467762,298.233993440341,539.8548572478637,83.12715919771654,-2.206490511835891
6500.0,3553.4469733248757,710689.3946649751,317.06572639513473,564.8732038137152,79.83759186175605,-2.22382163143798
6700.0,3577.874906391278,715574.9812782556,336.37239839202465,609.6478834428946,78.30831328668768,-2.2503932091904013
6900.0,3584.6659995001974,716933.1999000395,355.61441910270054,654.224033058492,77.14762071852832,-2.2766229750317466
7100.0,3049.012629780203,609802.5259560406,372.86800354553765,692.6941281409423,87.3232808646883,-2.2923398610749546
7300.0,2513.3592600602096,502671.85201204196,390.12158798837476,731.1642232233928,97.49894101084827,-2.308056747118162
7500.0,2036.1611054952918,407232.2210990584,400.11449948193393,755.7825310398457,111.49187687490297,-2.329818044801298
7700.0,1745.2948384521105,349058.9676904221,386.96328445525256,736.2468714134341,137.6527636706112,-2.3708465135458754
7900.0,1454.4285714089294,290885.7142817859,373.81206942857125,716.7112117870223,163.81365046631942,-2.411874982290452
8100.0,1341.083563046194,268216.7126092388,356.02771925154946,694.7444514523413,181.6251299132287,-2.463841844503497
8300.0,1374.0935433281138,274818.70866562275,334.42364377876555,670.7734031850629,192.55305396623027,-2.524826716524314
8500.0,1377.9378019927576,275587.5603985515,320.8139054370461,663.2982370448124,201.09860827684628,-2.5985342719671953
8700.0,1359.859077962773,271971.8155925546,313.21326630018,668.222521984464,207.85340797079655,-2.6818050801953577
8900.0,1411.5162275020102,282303.24550040206,307.77658783568467,653.334297359195,192.81537064700822,-2.665060487345577
9100.0,1478.3815565867633,295676.31131735264,302.81183150753685,634.125309441107,173.02469510118715,-2.626504277331494
9300.0,1393.3534578512333,278670.69157024665,304.26976416771515,640.9883655882646,177.50827707795338,-2.68169541684661
9500.0,1312.0918029426762,262418.36058853526,306.45932369372434,650.4074464735429,183.3356974585741,-2.740033742789688
9700.0,1518.704909730036,303740.9819460072,308.5681046755372,653.8806478870819,169.56675652857706,-2.694965432690045
9900.0,1662.073128329957,332414.6256659914,318.7941008071032,663.5198122188621,155.8115674591448,-2.6920637219844323
10100.0,1734.7253307047501,346945.06614095,338.0961999200134,680.0533255844742,142.07175475960904,-2.7363097573238333
10300.0,1767.771599452723,353554.3198905446,354.25427709783435,695.7537074574623,131.77423780233772,-2.7784598037591843
10500.0,1740.00857846164,348001.715692328,365.5851548312942,710.1749341714516,126.76187738578042,-2.817391756720028
10700.0,1712.245557470557,342449.1114941114,376.91603256475395,724.5961608854409,121.74951696922314,-2.856323709680872
10900.0,1939.4273165339166,387885.46330678335,372.4168531993974,696.3028744402449,113.85389332270522,-2.934620300368047
11100.0,2240.620724115455,448124.14482309093,363.3221350598399,655.6093673124068,105.12124502827858,-3.024344627409834
11300.0,2424.9470939617677,484989.41879235354,353.50175951143564,622.6956056941239,99.32010788774923,-3.105887642158016
11500.0,2252.454886628633,450490.97732572665,341.465805908156,613.534972223291,102.46946405303274,-3.162451464580996
11700.0,2100.9703869689647,420194.0773937929,330.0047733840957,608.2514166197899,105.34417689542364,-3.21901228299236
11900.0,2120.994331565698,424198.86631313956,323.2374381162885,634.6206050292337,105.97668179362229,-3.2755485764357077
12100.0,2120.8052983806997,424161.05967613996,318.0463918041364,655.8797085010787,106.87459554105827,-3.3116820728134395
12300.0,2050.9003379735846,410180.0675947169,318.2920726927042,659.5137834662156,108.68792235713467,-3.2774449424228735
12500.0,1962.5619737405768,392512.3947481154,315.4223300735093,651.1177106105202,109.75883310113701,-3.1665642849375937
12700.0,1836.8114047956112,367362.28095912223,306.22956306132926,618.3054009469557,109.3229455168313,-2.9001288882084335
12900.0,1755.7661435577004,351153.22871154005,294.36760863806956,591.7990528666872,108.79818977489931,-2.802512901635894
13100.0,1750.0540496877904,350010.8099375581,278.00779138176426,575.9189163871429,108.12368179692379,-2.989375459840021
13300.0,1756.9247631271498,351384.95262542996,263.7746493867987,558.2810103572316,110.80633722603616,-2.9962998855830936
13500.0,1780.093348953114,356018.6697906228,252.29608204001443,538.3663545438415,117.8373562154319,-2.7701595708231723
13700.0,1681.1934072855706,336238.6814571141,248.18881139048955,539.2082465541397,114.50364680635218,-2.8368227653034683
13900.0,1725.3258587069527,345065.17174139054,246.68204205186208,542.3569887207565,105.98923252699716,-2.9459760617597053
14100.0,2127.088982477673,425417.79649553465,245.79705134929293,537.3399517120647,93.5871620477642,-2.9596070035451856
14300.0,2286.411831879538,457282.3663759076,237.78279806229682,508.0887379702445,79.71814843552022,-3.1499727181023345
14500.0,2259.280518919497,451856.1037838994,229.3319956964788,490.30568298286664,71.96483182564523,-3.312911410522344
14700.0,1884.4917245053712,376898.34490107425,224.91885890698615,522.8501308543671,82.57903959497258,-3.267664773585078
14900.0,1856.1659338386728,371233.1867677346,234.2900094719927,538.2084048985254,74.51701971131443,-3.487129068229855
15100.0,1714.6233696749332,342924.67393498664,241.62143777056954,543.3944150118319,69.98873536155457,-3.7205573598301838
15300.0,1285.3555395206774,257071.10790413548,241.73007266962537,535.7911453767992,76.56659228197509,-3.906354819521408
15500.0,1111.8352615097128,222367.05230194257,223.9852819971759,476.02033653456,78.47782654644621,-3.9544950911080012
15700.0,1079.2351902531586,215847.03805063173,197.41615831041938,395.44907827500475,78.2020465138807,-3.9140776336775667
15900.0,1005.0083874366447,201001.67748732894,181.09140419931924,380.9136674695425,81.46983422845577,-3.804026293877678
16100.0,861.8367184855441,172367.34369710882,179.8865801550102,369.04602527802655,73.84464498055524,-4.190235237906033
16300.0,937.7130393336056,187542.6078667211,168.209901599972,325.8875882390787,62.306759495061975,-4.442251701196305
16500.0,1007.3205923305771,201464.11846611544,161.2200318398217,297.92609922040396,53.22431095825497,-4.749536656975687
16700.0,1004.8953902424001,200979.07804848003,158.96076752334815,288.93927548047503,46.77201563828179,-5.059491357915869
16900.0,1001.8340024573997,200366.80049147995,148.84927491430238,262.98755654712,36.85196141424641,-5.1144105438801795
17100.0,1199.85019899064,239970.03979812798,138.04969596724416,205.4162064830837,21.606478892220316,-5.191827338170604
17300.0,1061.5224686964918,212304.49373929837,136.46347766374595,151.38343129794603,15.264570841787092,-5.126683904685561
17500.0,840.8039552891757,168160.79105783516,120.54698904150456,121.33067196051714,21.020222661059886,-4.269124246459232
17700.0,764.8673780312482,152973.47560624965,102.04326496825176,94.5603173207438,16.154781842756943,-4.480142639071477
17900.0,379.8424179131233,75968.48358262466,80.44764441112038,42.09873105120194,3.4895905797657676,-4.5829169138817365
18100.0,290.47826533077955,58095.65306615591,45.080315919001016,25.886060344738443,2.118360855132152,-1.8959678336814954
